type,phase,office,service,multiplier
ABS_minus_zeta,2,A2,M,0.0
ABS_plus_eta,2,B1,P,100.0
ABS_minus_zeta,2,B1,P,0.0
ABS_plus_eta,2,B1,S,100.0
ABS_minus_zeta,2,B1,S,0.0
ABS_plus_eta,2,B1,O,100.0
ABS_minus_zeta,2,B1,O,0.0
ABS_plus_eta,2,B1,T,100.0
ABS_minus_zeta,2,B1,T,0.0
ABS_plus_eta,2,B1,M,0.0
ABS_minus_zeta,2,B1,M,1.0
ABS_plus_eta,2,B2,P,100.0
ABS_minus_zeta,2,B2,P,0.0
ABS_plus_eta,2,B2,S,100.0
ABS_minus_zeta,2,B2,S,0.0
ABS_plus_eta,2,B2,O,100.0
ABS_minus_zeta,2,B2,O,0.0
ABS_plus_eta,2,B2,T,100.0
ABS_minus_zeta,2,B2,T,0.0
ABS_plus_eta,2,B2,M,0.0
ABS_minus_zeta,2,B2,M,1.0
ABS_plus_eta,2,B3,P,100.0
ABS_minus_zeta,2,B3,P,0.0
ABS_plus_eta,2,B3,S,100.0
ABS_minus_zeta,2,B3,S,0.0
ABS_plus_eta,2,B3,O,100.0
ABS_minus_zeta,2,B3,O,0.0
ABS_plus_eta,2,B3,T,100.0
ABS_minus_zeta,2,B3,T,0.0
ABS_plus_eta,2,B3,M,0.0
ABS_minus_zeta,2,B3,M,1.0
ABS_plus_eta,2,C1,P,100.0
ABS_minus_zeta,2,C1,P,0.0
ABS_plus_eta,2,C1,S,0.0
ABS_minus_zeta,2,C1,S,100.0
ABS_plus_eta,2,C1,O,100.0
ABS_minus_zeta,2,C1,O,0.0
ABS_plus_eta,2,C1,T,100.0
ABS_minus_zeta,2,C1,T,0.0
ABS_plus_eta,2,C1,M,100.0
ABS_minus_zeta,2,C1,M,0.0
ABS_plus_eta,2,C2,P,100.0
ABS_minus_zeta,2,C2,P,0.0
ABS_plus_eta,2,C2,S,0.0
ABS_minus_zeta,2,C2,S,100.0
ABS_plus_eta,2,C2,O,100.0
ABS_minus_zeta,2,C2,O,0.0
ABS_plus_eta,2,C2,T,100.0
ABS_minus_zeta,2,C2,T,0.0
ABS_plus_eta,2,C2,M,100.0
ABS_minus_zeta,2,C2,M,0.0
ABS_plus_eta,2,D1,P,100.0
ABS_minus_zeta,2,D1,P,0.0
ABS_plus_eta,2,D1,S,100.0
ABS_minus_zeta,2,D1,S,0.0
ABS_plus_eta,2,D1,O,100.0
ABS_minus_zeta,2,D1,O,0.0
ABS_plus_eta,2,D1,T,0.0
ABS_minus_zeta,2,D1,T,100.0
ABS_plus_eta,2,D1,M,100.0
ABS_minus_zeta,2,D1,M,0.0
ABS_plus_eta,2,D2,P,100.0
ABS_minus_zeta,2,D2,P,0.0
ABS_plus_eta,2,D2,S,100.0
ABS_minus_zeta,2,D2,S,0.0
ABS_plus_eta,2,D2,O,100.0
ABS_minus_zeta,2,D2,O,0.0
ABS_plus_eta,2,D2,T,0.0
ABS_minus_zeta,2,D2,T,100.0
ABS_plus_eta,2,D2,M,100.0
ABS_minus_zeta,2,D2,M,0.0
